Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,serial,0.079500,0.079500,0.079000,0.282918,0.282918,0.284709,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.072664,0.072560,0.071680,0.309534,0.309978,0.313783,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaHLL,0.149520,0.149408,0.148320,0.150428,0.150541,0.151645,1,5
af_1_k101.mtx,503625,503625,17550675,serial,77.486250,77.069496,77.063004,0.453001,0.455451,0.455489,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.614792,1.615264,1.592576,21.737381,21.731030,22.040612,1,5
af_1_k101.mtx,503625,503625,17550675,cudaHLL,0.584184,0.584000,0.583584,60.086121,60.105052,60.147895,1,5
af23560.mtx,23560,23560,484256,serial,2.162750,2.163000,2.162000,0.447815,0.447763,0.447970,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.035472,0.035248,0.034752,27.303563,27.477077,27.869245,1,5
af23560.mtx,23560,23560,484256,cudaHLL,0.023944,0.024224,0.022752,40.449047,39.981506,42.568214,1,5
amazon0302.mtx,262111,262111,1234877,serial,9.813250,9.811500,9.805000,0.251675,0.251720,0.251887,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.078904,0.079616,0.076448,31.300746,31.020825,32.306325,1,5
amazon0302.mtx,262111,262111,1234877,cudaHLL,0.070104,0.069824,0.069216,35.229859,35.371134,35.681838,1,5
bcsstk17.mtx,10974,10974,428650,serial,1.919750,1.919500,1.919000,0.446569,0.446627,0.446743,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.035176,0.034896,0.033408,24.371731,24.567286,25.661517,1,5
bcsstk17.mtx,10974,10974,428650,cudaHLL,0.044240,0.044560,0.042912,19.378391,19.239229,19.978095,1,5
cage4.mtx,9,9,49,serial,0.000500,0.000500,0.000000,0.196000,0.196000,inf,1,5
cage4.mtx,9,9,49,cudaCSR,0.008896,0.008096,0.006880,0.011016,0.012105,0.014244,1,5
cage4.mtx,9,9,49,cudaHLL,0.009312,0.008864,0.008096,0.010524,0.011056,0.012105,1,5
cant.mtx,62451,62451,4007383,serial,17.719251,17.719501,17.718000,0.452320,0.452313,0.452352,1,5
cant.mtx,62451,62451,4007383,cudaCSR,0.499880,0.501568,0.482816,16.033380,15.979420,16.600042,1,5
cant.mtx,62451,62451,4007383,cudaHLL,0.158544,0.158528,0.157440,50.552313,50.557416,50.906794,1,5
cavity10.mtx,2597,2597,76367,serial,0.359750,0.352000,0.351000,0.424556,0.433903,0.435140,1,5
cavity10.mtx,2597,2597,76367,cudaCSR,0.019520,0.019056,0.018432,7.824488,8.015008,8.286350,1,5
cavity10.mtx,2597,2597,76367,cudaHLL,0.017504,0.016720,0.016384,8.725663,9.134809,9.322144,1,5
cop20k_A.mtx,121192,121192,2624331,serial,14.493000,14.492500,14.490000,0.362152,0.362164,0.362227,1,5
cop20k_A.mtx,121192,121192,2624331,cudaCSR,0.260152,0.260656,0.255616,20.175366,20.136356,20.533385,1,5
cop20k_A.mtx,121192,121192,2624331,cudaHLL,0.121056,0.121056,0.121056,43.357306,43.357306,43.357306,0,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,serial,577.934250,578.137024,574.860962,0.440210,0.440055,0.442563,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaCSR,4.491296,4.491808,4.486656,56.645629,56.639173,56.704208,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaHLL,4.203352,4.205584,4.194304,60.526049,60.493925,60.656616,1,5
dc1.mtx,116835,116835,766396,serial,4.095250,4.097000,4.080000,0.374285,0.374125,0.375684,1,5
dc1.mtx,116835,116835,766396,cudaCSR,7.134784,7.135568,7.131360,0.214834,0.214810,0.214937,1,5
dc1.mtx,116835,116835,766396,cudaHLL,21.302608,21.309968,21.254721,0.071953,0.071928,0.072115,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,serial,1.964500,1.964500,1.964000,0.438524,0.438524,0.438635,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaCSR,0.028976,0.029696,0.025728,29.730812,29.009968,33.484141,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaHLL,0.022856,0.022576,0.022528,37.691634,38.159106,38.240412,1,5
lung2.mtx,109460,109460,492564,serial,2.781750,2.781000,2.776000,0.354140,0.354235,0.354873,1,5
lung2.mtx,109460,109460,492564,cudaCSR,0.033880,0.034000,0.031744,29.076978,28.974353,31.033519,1,5
lung2.mtx,109460,109460,492564,cudaHLL,0.042056,0.042192,0.040768,23.424196,23.348692,24.164246,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,serial,7.360250,7.360000,7.349000,0.346018,0.346030,0.346548,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaCSR,0.085720,0.085984,0.083008,29.710430,29.619209,30.681116,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaHLL,0.181368,0.181616,0.180032,14.042047,14.022872,14.146252,1,5
mcfe.mtx,765,765,24382,serial,0.124500,0.124500,0.124000,0.391679,0.391679,0.393258,1,5
mcfe.mtx,765,765,24382,cudaCSR,0.021520,0.021472,0.020480,2.265985,2.271051,2.381055,1,5
mcfe.mtx,765,765,24382,cudaHLL,0.017736,0.017568,0.017248,2.749436,2.775729,2.827226,1,5
mhd4800a.mtx,4800,4800,102252,serial,0.478500,0.476000,0.465000,0.427386,0.429630,0.439794,1,5
mhd4800a.mtx,4800,4800,102252,cudaCSR,0.016592,0.016272,0.015552,12.325458,12.567847,13.149691,1,5
mhd4800a.mtx,4800,4800,102252,cudaHLL,0.014984,0.014704,0.014240,13.648158,13.908052,14.361236,1,5
mhda416.mtx,416,416,8562,serial,0.044000,0.044000,0.044000,0.389182,0.389182,0.389182,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.014248,0.014304,0.013728,1.201853,1.197148,1.247378,1,5
mhda416.mtx,416,416,8562,cudaHLL,0.013216,0.013120,0.012512,1.295702,1.305183,1.368606,1,5
mhda416.mtx,416,416,8562,serial,0.043500,0.043500,0.043000,0.393655,0.393655,0.398233,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.014480,0.014160,0.013760,1.182597,1.209322,1.244477,1,5
mhda416.mtx,416,416,8562,cudaHLL,0.012800,0.012352,0.012288,1.337812,1.386334,1.393555,1,5
ML_Laplace.mtx,377002,377002,27689972,serial,123.723749,123.695496,123.093002,0.447610,0.447712,0.449903,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaCSR,4.077088,3.888736,3.802944,13.583211,14.241117,14.562388,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaHLL,0.892368,0.892256,0.891232,62.059535,62.067324,62.138639,1,5
nlpkkt80.mtx,1062400,1062400,28704672,serial,127.370754,127.366001,127.348007,0.450726,0.450743,0.450807,1,5
nlpkkt80.mtx,1062400,1062400,28704672,cudaCSR,2.634096,2.634336,2.574368,21.794704,21.792719,22.300364,1,5
nlpkkt80.mtx,1062400,1062400,28704672,cudaHLL,0.990096,0.990400,0.988160,57.983614,57.965817,58.097214,1,5
olafu.mtx,16146,16146,1015156,serial,4.463500,4.463500,4.461000,0.454870,0.454870,0.455125,1,5
olafu.mtx,16146,16146,1015156,cudaCSR,0.076568,0.075776,0.072864,26.516456,26.793602,27.864404,1,5
olafu.mtx,16146,16146,1015156,cudaHLL,0.052944,0.052720,0.051552,38.348293,38.511230,39.383767,1,5
olm1000.mtx,1000,1000,3996,serial,0.023000,0.023000,0.023000,0.347478,0.347478,0.347478,1,5
olm1000.mtx,1000,1000,3996,cudaCSR,0.008872,0.008800,0.007136,0.900812,0.908182,1.119955,1,5
olm1000.mtx,1000,1000,3996,cudaHLL,0.009976,0.009600,0.008800,0.801123,0.832500,0.908182,1,5
PR02R.mtx,161070,161070,8185136,serial,37.130251,37.131001,37.122002,0.440888,0.440879,0.440986,1,5
PR02R.mtx,161070,161070,8185136,cudaCSR,0.881392,0.878624,0.873600,18.573202,18.631715,18.738864,1,5
PR02R.mtx,161070,161070,8185136,cudaHLL,0.399528,0.399648,0.398976,40.974030,40.961727,41.030719,1,5
raefsky2.mtx,3242,3242,294276,serial,1.275000,1.275000,1.274000,0.461609,0.461609,0.461972,1,5
raefsky2.mtx,3242,3242,294276,cudaCSR,0.036960,0.036032,0.035456,15.924026,16.334148,16.599503,1,5
raefsky2.mtx,3242,3242,294276,cudaHLL,0.026408,0.026624,0.024640,22.286883,22.106070,23.886039,1,5
rdist2.mtx,3198,3198,56934,serial,0.256750,0.257000,0.256000,0.443498,0.443066,0.444797,1,5
rdist2.mtx,3198,3198,56934,cudaCSR,0.016896,0.016368,0.016192,6.739347,6.956745,7.032362,1,5
rdist2.mtx,3198,3198,56934,cudaHLL,0.017544,0.017376,0.016992,6.490424,6.553177,6.701271,1,5
roadNet-PA.mtx,1090920,1090920,3083796,serial,25.640000,25.634501,25.625000,0.240546,0.240597,0.240687,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaCSR,0.189504,0.190176,0.186464,32.545973,32.430970,33.076584,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaHLL,0.227888,0.227280,0.226688,27.064137,27.136537,27.207404,1,5
thermal1.mtx,82654,82654,574458,serial,3.346500,3.347000,3.345000,0.343319,0.343267,0.343473,1,5
thermal1.mtx,82654,82654,574458,cudaCSR,0.048832,0.049248,0.046752,23.527933,23.329192,24.574693,1,5
thermal1.mtx,82654,82654,574458,cudaHLL,0.041304,0.041376,0.040960,27.816095,27.767691,28.049708,1,5
thermal2.mtx,1228045,1228045,8580313,serial,55.350000,55.286501,55.041000,0.310038,0.310395,0.311779,1,5
thermal2.mtx,1228045,1228045,8580313,cudaCSR,0.564128,0.563968,0.561472,30.419738,30.428368,30.563636,1,5
thermal2.mtx,1228045,1228045,8580313,cudaHLL,0.436560,0.436320,0.435648,39.308745,39.330367,39.391036,1,5
thermomech_TK.mtx,102158,102158,711558,serial,4.824000,4.824000,4.822000,0.295007,0.295007,0.295130,1,5
thermomech_TK.mtx,102158,102158,711558,cudaCSR,0.055904,0.055776,0.054592,25.456425,25.514845,26.068216,1,5
thermomech_TK.mtx,102158,102158,711558,cudaHLL,0.045520,0.045424,0.045056,31.263532,31.329605,31.585493,1,5
webbase-1M.mtx,1000005,1000005,3105536,serial,20.603001,20.597501,20.584000,0.301464,0.301545,0.301743,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaCSR,0.431456,0.430128,0.429856,14.395609,14.440055,14.449192,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaHLL,1.775776,1.775664,1.775168,3.497666,3.497887,3.498864,1,5
west2021.mtx,2021,2021,7353,serial,0.046750,0.047000,0.046000,0.314567,0.312894,0.319696,1,5
west2021.mtx,2021,2021,7353,cudaCSR,0.009488,0.009456,0.008352,1.549958,1.555203,1.760776,1,5
west2021.mtx,2021,2021,7353,cudaHLL,0.010040,0.010096,0.008672,1.464741,1.456616,1.695803,1,5
