Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,serial,0.071500,0.071500,0.070000,0.314573,0.314573,0.321314,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.073416,0.073152,0.071840,0.306364,0.307469,0.313085,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaHLL,0.149336,0.149328,0.148032,0.150613,0.150621,0.151940,1,5
af_1_k101.mtx,503625,503625,17550675,serial,77.285250,77.238998,77.221001,0.454179,0.454451,0.454557,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.043584,1.042544,1.040160,33.635386,33.668938,33.746108,1,5
af_1_k101.mtx,503625,503625,17550675,cudaHLL,0.582800,0.582816,0.581600,60.228811,60.227158,60.353077,1,5
af23560.mtx,23560,23560,484256,serial,2.147750,2.148000,2.147000,0.450943,0.450890,0.451100,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.034400,0.035456,0.030144,28.154419,27.315885,32.129511,1,5
af23560.mtx,23560,23560,484256,cudaHLL,0.026272,0.026352,0.025952,36.864799,36.752885,37.319359,1,5
amazon0302.mtx,262111,262111,1234877,serial,9.606000,9.606500,9.589000,0.257105,0.257092,0.257561,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.077584,0.076032,0.074848,31.833289,32.483085,32.996925,1,5
amazon0302.mtx,262111,262111,1234877,cudaHLL,0.069296,0.069520,0.068512,35.640643,35.525805,36.048488,1,5
bcsstk17.mtx,10974,10974,428650,serial,1.895500,1.896000,1.894000,0.452282,0.452162,0.452640,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.035536,0.035344,0.033248,24.124831,24.255886,25.785010,1,5
bcsstk17.mtx,10974,10974,428650,cudaHLL,0.043864,0.043776,0.043136,19.544501,19.583790,19.874351,1,5
cage4.mtx,9,9,49,serial,0.000500,0.000500,0.000000,0.196000,0.196000,inf,1,5
