Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.035800,0.035552,0.034816,0.628268,0.632651,0.646025,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.025656,1.042144,0.968512,34.223317,33.681862,36.242556,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.053456,0.054480,0.049792,18.117929,17.777386,19.451157,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.396288,0.396352,0.394208,6.232220,6.231214,6.265103,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.053728,0.052352,0.051776,15.956298,16.375688,16.557865,1,5
cage4.mtx,9,9,49,cudaCSR,0.009720,0.009936,0.008320,0.010082,0.009863,0.011779,1,5
cant.mtx,62451,62451,4007383,cudaCSR,0.205600,0.205600,0.197440,38.982325,38.982325,40.593426,1,5
cavity10.mtx,2597,2597,76367,cudaCSR,0.039000,0.038944,0.038656,3.916256,3.921888,3.951107,1,5
cop20k_A.mtx,121192,121192,2624331,cudaCSR,0.234832,0.234176,0.233120,22.350711,22.413322,22.514851,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaCSR,4.494480,4.495936,4.487552,56.605498,56.587167,56.692887,1,5
dc1.mtx,116835,116835,766396,cudaCSR,0.342680,0.341728,0.339072,4.472954,4.485415,4.520550,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaCSR,0.048472,0.049040,0.045024,17.772735,17.566884,19.133795,1,5
lung2.mtx,109460,109460,492564,cudaCSR,0.167728,0.168832,0.163744,5.873366,5.834960,6.016269,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaCSR,0.351464,0.349424,0.347872,7.246199,7.288503,7.321021,1,5
mcfe.mtx,765,765,24382,cudaCSR,0.038040,0.038000,0.037472,1.281914,1.283263,1.301345,1,5
mhd4800a.mtx,4800,4800,102252,cudaCSR,0.037304,0.036960,0.036832,5.482093,5.533117,5.552346,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.030928,0.030992,0.029376,0.553673,0.552530,0.582925,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.030912,0.030640,0.029600,0.553960,0.558877,0.578514,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaCSR,0.937384,0.937712,0.932448,59.079250,59.058584,59.391990,1,5
nlpkkt80.mtx,1062400,1062400,28704672,cudaCSR,1.547920,1.519504,1.513120,37.088057,37.781635,37.941037,1,5
olafu.mtx,16146,16146,1015156,cudaCSR,0.060872,0.060928,0.058560,33.353791,33.323135,34.670629,1,5
olm1000.mtx,1000,1000,3996,cudaCSR,0.032520,0.029952,0.028992,0.245756,0.266827,0.275662,1,5
PR02R.mtx,161070,161070,8185136,cudaCSR,0.407960,0.408384,0.402592,40.127149,40.085487,40.662189,1,5
raefsky2.mtx,3242,3242,294276,cudaCSR,0.055936,0.055776,0.054944,10.521882,10.552065,10.711852,1,5
rdist2.mtx,3198,3198,56934,cudaCSR,0.038696,0.038576,0.037696,2.942630,2.951783,3.020692,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaCSR,1.682192,1.682480,1.678752,3.666402,3.665774,3.673915,1,5
thermal1.mtx,82654,82654,574458,cudaCSR,0.150528,0.150592,0.140576,7.632573,7.629330,8.172917,1,5
thermal2.mtx,1228045,1228045,8580313,cudaCSR,1.888624,1.888384,1.880384,9.086312,9.087466,9.126129,1,5
thermomech_TK.mtx,102158,102158,711558,cudaCSR,0.195584,0.195232,0.193152,7.276240,7.289358,7.367856,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaCSR,1.552256,1.551920,1.549664,4.001319,4.002186,4.008012,1,5
west2021.mtx,2021,2021,7353,cudaCSR,0.035336,0.034832,0.034816,0.416176,0.422198,0.422392,1,5
