Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.072800,0.072704,0.071872,0.308956,0.309364,0.312945,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.616768,1.608944,1.599104,21.710814,21.816390,21.950635,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.033992,0.034832,0.031328,28.492350,27.805236,30.915219,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.078800,0.078592,0.076224,31.342056,31.425006,32.401265,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.032600,0.032528,0.030944,26.297546,26.355755,27.704885,1,5
cage4.mtx,9,9,49,cudaCSR,0.010176,0.008464,0.007296,0.009631,0.011578,0.013432,1,5
cant.mtx,62451,62451,4007383,cudaCSR,0.499920,0.503232,0.479872,16.032097,15.926582,16.701883,1,5
cavity10.mtx,2597,2597,76367,cudaCSR,0.019224,0.019248,0.017952,7.944965,7.935058,8.507910,1,5
cop20k_A.mtx,121192,121192,2624331,cudaCSR,0.260208,0.259856,0.258624,20.171025,20.198348,20.294568,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaCSR,15.710480,15.710688,15.621312,16.193795,16.193580,16.286230,1,5
dc1.mtx,116835,116835,766396,cudaCSR,6.252384,6.251536,6.249600,0.245153,0.245186,0.245262,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaCSR,0.027200,0.027344,0.024416,31.672058,31.505266,35.283421,1,5
lung2.mtx,109460,109460,492564,cudaCSR,0.033456,0.034064,0.030656,29.445481,28.919915,32.134916,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaCSR,0.084592,0.083520,0.082848,30.106606,30.493032,30.740369,1,5
mcfe.mtx,765,765,24382,cudaCSR,0.021184,0.021056,0.020352,2.301926,2.315919,2.396030,1,5
mhd4800a.mtx,4800,4800,102252,cudaCSR,0.016616,0.016336,0.016160,12.307655,12.518610,12.654950,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.014104,0.013856,0.012736,1.214124,1.235855,1.344535,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.014352,0.014224,0.014080,1.193144,1.203881,1.216193,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaCSR,4.342512,4.292016,3.893984,12.752974,12.903015,14.221924,1,5
nlpkkt80.mtx,1062400,1062400,28704672,cudaCSR,2.641976,2.638096,2.579808,21.729699,21.761659,22.253340,1,5
olafu.mtx,16146,16146,1015156,cudaCSR,0.071304,0.071632,0.069440,28.474027,28.343646,29.238364,1,5
olm1000.mtx,1000,1000,3996,cudaCSR,0.010848,0.009456,0.008288,0.736726,0.845178,0.964286,1,5
PR02R.mtx,161070,161070,8185136,cudaCSR,0.879048,0.880784,0.866080,18.622728,18.586023,18.901571,1,5
raefsky2.mtx,3242,3242,294276,cudaCSR,0.037376,0.037024,0.036864,15.746789,15.896499,15.965494,1,5
rdist2.mtx,3198,3198,56934,cudaCSR,0.016640,0.016512,0.015392,6.843029,6.896076,7.397869,1,5
roadNet-PA.mtx,1090920,1090920,3083796,cudaCSR,0.191248,0.191152,0.190016,32.249184,32.265381,32.458277,1,5
thermal1.mtx,82654,82654,574458,cudaCSR,0.047472,0.047184,0.046496,24.201972,24.349695,24.709996,1,5
thermal2.mtx,1228045,1228045,8580313,cudaCSR,0.563488,0.562448,0.560704,30.454289,30.510600,30.605500,1,5
thermomech_TK.mtx,102158,102158,711558,cudaCSR,0.057312,0.056896,0.055008,24.831030,25.012585,25.871073,1,5
webbase-1M.mtx,1000005,1000005,3105536,cudaCSR,0.432688,0.433328,0.429856,14.354620,14.333419,14.449192,1,5
west2021.mtx,2021,2021,7353,cudaCSR,0.009608,0.009424,0.008352,1.530599,1.560484,1.760776,1,5
