Matrix              ,M       ,N       ,NZ        ,Mode    ,AvgTime(ms) ,MedianTime(ms) ,BestTime(ms) ,AvgGFlops ,MedianGFlops ,BestGFlops ,Passed ,Iterations
adder_dcop_32.mtx   ,   1813 ,   1813 ,    11246 ,serial  ,   0.074750 ,      0.074500 ,    0.074000 , 0.300896 ,    0.301906 ,0.303946   ,     1 ,         5
adder_dcop_32.mtx   ,   1813 ,   1813 ,    11246 ,cudaCSR ,   0.073216 ,      0.072848 ,    0.071872 , 0.307201 ,    0.308752 ,0.312945   ,     1 ,         5
adder_dcop_32.mtx   ,   1813 ,   1813 ,    11246 ,cudaHLL ,   0.250952 ,      0.250416 ,    0.250048 , 0.089627 ,    0.089819 ,0.089951   ,     1 ,         5
af_1_k101.mtx       , 503625 , 503625 , 17550675 ,serial  ,  77.567001 ,     77.163502 ,   77.152000 , 0.452529 ,    0.454896 ,0.454964   ,     1 ,         5
af_1_k101.mtx       , 503625 , 503625 , 17550675 ,cudaCSR ,   1.138456 ,      1.138032 ,    1.137120 ,30.832416 ,   30.843904 ,30.868642  ,     1 ,         5
af_1_k101.mtx       , 503625 , 503625 , 17550675 ,cudaHLL ,   0.579008 ,      0.579168 ,    0.578112 ,60.623254 ,   60.606506 ,60.717213  ,     1 ,         5
af23560.mtx         ,  23560 ,  23560 ,   484256 ,serial  ,   2.163000 ,      2.163000 ,    2.163000 , 0.447763 ,    0.447763 ,0.447763   ,     1 ,         5
af23560.mtx         ,  23560 ,  23560 ,   484256 ,cudaCSR ,   0.038624 ,      0.038880 ,    0.036608 ,25.075394 ,   24.910288 ,26.456294  ,     1 ,         5
af23560.mtx         ,  23560 ,  23560 ,   484256 ,cudaHLL ,   0.025832 ,      0.025696 ,    0.025312 ,37.492722 ,   37.691158 ,38.262957  ,     1 ,         5
amazon0302.mtx      , 262111 , 262111 ,  1234877 ,serial  ,  10.164500 ,     10.173000 ,   10.066000 , 0.242978 ,    0.242775 ,0.245356   ,     1 ,         5
amazon0302.mtx      , 262111 , 262111 ,  1234877 ,cudaCSR ,   0.081824 ,      0.082048 ,    0.080992 ,30.183736 ,   30.101331 ,30.493802  ,     1 ,         5
amazon0302.mtx      , 262111 , 262111 ,  1234877 ,cudaHLL ,   0.076104 ,      0.076144 ,    0.075040 ,32.452355 ,   32.435307 ,32.912501  ,     1 ,         5
bcsstk17.mtx        ,  10974 ,  10974 ,   428650 ,serial  ,   1.900250 ,      1.900000 ,    1.900000 , 0.451151 ,    0.451211 ,0.451211   ,     1 ,         5
bcsstk17.mtx        ,  10974 ,  10974 ,   428650 ,cudaCSR ,   0.044952 ,      0.045104 ,    0.044288 ,19.071454 ,   19.007183 ,19.357389  ,     1 ,         5
bcsstk17.mtx        ,  10974 ,  10974 ,   428650 ,cudaHLL ,   0.051336 ,      0.051360 ,    0.051200 ,16.699782 ,   16.691978 ,16.744141  ,     1 ,         5
cage4.mtx           ,      9 ,      9 ,       49 ,serial  ,   0.000500 ,      0.000500 ,    0.000000 , 0.196000 ,    0.196000 ,inf        ,     1 ,         5
cage4.mtx           ,      9 ,      9 ,       49 ,cudaCSR ,   0.008120 ,      0.007696 ,    0.007200 , 0.012069 ,    0.012734 ,0.013611   ,     1 ,         5
cage4.mtx           ,      9 ,      9 ,       49 ,cudaHLL ,   0.008432 ,      0.008192 ,    0.008160 , 0.011622 ,    0.011963 ,0.012010   ,     1 ,         5
cant.mtx            ,  62451 ,  62451 ,  4007383 ,serial  ,  17.700500 ,     17.700001 ,   17.695000 , 0.452799 ,    0.452812 ,0.452940   ,     1 ,         5
cant.mtx            ,  62451 ,  62451 ,  4007383 ,cudaCSR ,   0.232128 ,      0.233008 ,    0.226880 ,34.527355 ,   34.396956 ,35.326014  ,     1 ,         5
cant.mtx            ,  62451 ,  62451 ,  4007383 ,cudaHLL ,   0.157480 ,      0.156560 ,    0.155680 ,50.893867 ,   51.192937 ,51.482310  ,     1 ,         5
cavity10.mtx        ,   2597 ,   2597 ,    76367 ,serial  ,   0.347000 ,      0.344500 ,    0.338000 , 0.440156 ,    0.443350 ,0.451876   ,     1 ,         5
cavity10.mtx        ,   2597 ,   2597 ,    76367 ,cudaCSR ,   0.028312 ,      0.028448 ,    0.027680 , 5.394674 ,    5.368883 ,5.517847   ,     1 ,         5
cavity10.mtx        ,   2597 ,   2597 ,    76367 ,cudaHLL ,   0.022016 ,      0.022272 ,    0.020928 , 6.937409 ,    6.857669 ,7.298070   ,     1 ,         5
cop20k_A.mtx        , 121192 , 121192 ,  2624331 ,serial  ,  14.347750 ,     14.347499 ,   14.344000 , 0.365818 ,    0.365824 ,0.365913   ,     1 ,         5
cop20k_A.mtx        , 121192 , 121192 ,  2624331 ,cudaCSR ,   0.301064 ,      0.300880 ,    0.296800 ,17.433708 ,   17.444370 ,17.684172  ,     1 ,         5
cop20k_A.mtx        , 121192 , 121192 ,  2624331 ,cudaHLL ,   0.129880 ,      0.129856 ,    0.128896 ,40.411626 ,   40.419096 ,40.720132  ,     1 ,         5
Cube_Coup_dt0.mtx   ,2164760 ,2164760 ,127206144 ,serial  , 556.675751 ,    556.977509 ,  555.268982 , 0.457021 ,    0.456773 ,0.458178   ,     1 ,         5
Cube_Coup_dt0.mtx   ,2164760 ,2164760 ,127206144 ,cudaCSR ,   4.834408 ,      4.834704 ,    4.833056 ,52.625325 ,   52.622103 ,52.640046  ,     1 ,         5
Cube_Coup_dt0.mtx   ,2164760 ,2164760 ,127206144 ,cudaHLL ,   4.249888 ,      4.249616 ,    4.246336 ,59.863293 ,   59.867125 ,59.913367  ,     1 ,         5
dc1.mtx             , 116835 , 116835 ,   766396 ,serial  ,   3.887250 ,      3.887000 ,    3.887000 , 0.394313 ,    0.394338 ,0.394338   ,     1 ,         5
dc1.mtx             , 116835 , 116835 ,   766396 ,cudaCSR ,   7.139008 ,      7.138784 ,    7.135200 , 0.214707 ,    0.214713 ,0.214821   ,     1 ,         5
dc1.mtx             , 116835 , 116835 ,   766396 ,cudaHLL ,  40.070712 ,     40.331600 ,   39.021854 , 0.038252 ,    0.038005 ,0.039280   ,     1 ,         5
FEM_3D_thermal1.mtx ,  17880 ,  17880 ,   430740 ,serial  ,   1.911500 ,      1.911000 ,    1.911000 , 0.450683 ,    0.450801 ,0.450801   ,     1 ,         5
FEM_3D_thermal1.mtx ,  17880 ,  17880 ,   430740 ,cudaCSR ,   0.034344 ,      0.035248 ,    0.031424 ,25.083857 ,   24.440536 ,27.414714  ,     1 ,         5
FEM_3D_thermal1.mtx ,  17880 ,  17880 ,   430740 ,cudaHLL ,   0.029400 ,      0.029360 ,    0.028192 ,29.302040 ,   29.341962 ,30.557604  ,     1 ,         5
lung2.mtx           , 109460 , 109460 ,   492564 ,serial  ,   2.642250 ,      2.630500 ,    2.618000 , 0.372837 ,    0.374502 ,0.376290   ,     1 ,         5
lung2.mtx           , 109460 , 109460 ,   492564 ,cudaCSR ,   0.033448 ,      0.032768 ,    0.032224 ,29.452524 ,   30.063721 ,30.571252  ,     1 ,         5
lung2.mtx           , 109460 , 109460 ,   492564 ,cudaHLL ,   0.045272 ,      0.045200 ,    0.045056 ,21.760205 ,   21.794867 ,21.864524  ,     1 ,         5
mac_econ_fwd500.mtx , 206500 , 206500 ,  1273389 ,serial  ,   6.603750 ,      6.582500 ,    6.570000 , 0.385656 ,    0.386901 ,0.387637   ,     1 ,         5
mac_econ_fwd500.mtx , 206500 , 206500 ,  1273389 ,cudaCSR ,   0.089336 ,      0.089072 ,    0.086848 ,28.507858 ,   28.592352 ,29.324545  ,     1 ,         5
mac_econ_fwd500.mtx , 206500 , 206500 ,  1273389 ,cudaHLL ,   0.187568 ,      0.187408 ,    0.186400 ,13.577892 ,   13.589484 ,13.662972  ,     1 ,         5
mcfe.mtx            ,    765 ,    765 ,    24382 ,serial  ,   0.123250 ,      0.123000 ,    0.123000 , 0.395651 ,    0.396455 ,0.396455   ,     1 ,         5
mcfe.mtx            ,    765 ,    765 ,    24382 ,cudaCSR ,   0.026232 ,      0.026224 ,    0.025856 , 1.858951 ,    1.859518 ,1.885984   ,     1 ,         5
mcfe.mtx            ,    765 ,    765 ,    24382 ,cudaHLL ,   0.025960 ,      0.024448 ,    0.023072 , 1.878428 ,    1.994601 ,2.113558   ,     1 ,         5
mhd4800a.mtx        ,   4800 ,   4800 ,   102252 ,serial  ,   0.466250 ,      0.454000 ,    0.453000 , 0.438614 ,    0.450449 ,0.451444   ,     1 ,         5
mhd4800a.mtx        ,   4800 ,   4800 ,   102252 ,cudaCSR ,   0.022896 ,      0.022528 ,    0.022528 , 8.931866 ,    9.077770 ,9.077770   ,     1 ,         5
mhd4800a.mtx        ,   4800 ,   4800 ,   102252 ,cudaHLL ,   0.016016 ,      0.016064 ,    0.015296 ,12.768731 ,   12.730577 ,13.369770  ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,serial  ,   0.042250 ,      0.042000 ,    0.042000 , 0.405302 ,    0.407714 ,0.407714   ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,cudaCSR ,   0.019600 ,      0.018704 ,    0.017952 , 0.873673 ,    0.915526 ,0.953877   ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,cudaHLL ,   0.014344 ,      0.014336 ,    0.014272 , 1.193809 ,    1.194475 ,1.199832   ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,serial  ,   0.045500 ,      0.045500 ,    0.045000 , 0.376352 ,    0.376352 ,0.380533   ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,cudaCSR ,   0.018096 ,      0.017824 ,    0.016800 , 0.946286 ,    0.960727 ,1.019286   ,     1 ,         5
mhda416.mtx         ,    416 ,    416 ,     8562 ,cudaHLL ,   0.014280 ,      0.014144 ,    0.014080 , 1.199160 ,    1.210690 ,1.216193   ,     1 ,         5
ML_Laplace.mtx      , 377002 , 377002 , 27689972 ,serial  , 123.187252 ,    122.785500 ,  122.772003 , 0.449559 ,    0.451030 ,0.451080   ,     1 ,         5
ML_Laplace.mtx      , 377002 , 377002 , 27689972 ,cudaCSR ,   0.974120 ,      0.983152 ,    0.941568 ,56.851254 ,   56.328974 ,58.816722  ,     1 ,         5
ML_Laplace.mtx      , 377002 , 377002 , 27689972 ,cudaHLL ,   0.889424 ,      0.889456 ,    0.888736 ,62.264953 ,   62.262713 ,62.313154  ,     1 ,         5
nlpkkt80.mtx        ,1062400 ,1062400 , 28704672 ,serial  , 127.410252 ,    127.407997 ,  127.386002 , 0.450587 ,    0.450595 ,0.450672   ,     1 ,         5
nlpkkt80.mtx        ,1062400 ,1062400 , 28704672 ,cudaCSR ,   1.702888 ,      1.702016 ,    1.625184 ,33.712930 ,   33.730202 ,35.324826  ,     1 ,         5
nlpkkt80.mtx        ,1062400 ,1062400 , 28704672 ,cudaHLL ,   0.990856 ,      0.990384 ,    0.988992 ,57.939139 ,   57.966752 ,58.048342  ,     1 ,         5
olafu.mtx           ,  16146 ,  16146 ,  1015156 ,serial  ,   4.450250 ,      4.450500 ,    4.448000 , 0.456224 ,    0.456199 ,0.456455   ,     1 ,         5
olafu.mtx           ,  16146 ,  16146 ,  1015156 ,cudaCSR ,   0.094760 ,      0.094608 ,    0.091552 ,21.425834 ,   21.460258 ,22.176600  ,     1 ,         5
olafu.mtx           ,  16146 ,  16146 ,  1015156 ,cudaHLL ,   0.055456 ,      0.055488 ,    0.055296 ,36.611223 ,   36.590109 ,36.717159  ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,serial  ,   0.023500 ,      0.023500 ,    0.023000 , 0.340085 ,    0.340085 ,0.347478   ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,cudaCSR ,   0.009344 ,      0.009248 ,    0.008480 , 0.855308 ,    0.864187 ,0.942453   ,     1 ,         5
olm1000.mtx         ,   1000 ,   1000 ,     3996 ,cudaHLL ,   0.009616 ,      0.009520 ,    0.009120 , 0.831115 ,    0.839496 ,0.876316   ,     1 ,         5
PR02R.mtx           , 161070 , 161070 ,  8185136 ,serial  ,  36.396249 ,     36.399498 ,   36.380001 , 0.449779 ,    0.449739 ,0.449980   ,     1 ,         5
PR02R.mtx           , 161070 , 161070 ,  8185136 ,cudaCSR ,   0.459664 ,      0.460016 ,    0.455968 ,35.613562 ,   35.586310 ,35.902239  ,     1 ,         5
