Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,serial,0.075000,0.075000,0.074000,0.299893,0.299893,0.303946,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.071352,0.071104,0.070560,0.315226,0.316325,0.318764,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaHLL,0.150584,0.150736,0.149376,0.149365,0.149215,0.150573,1,5
af_1_k101.mtx,503625,503625,17550675,serial,79.230251,79.031002,78.569000,0.443030,0.444147,0.446758,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.043416,1.042688,1.041056,33.640801,33.664290,33.717061,1,5
af_1_k101.mtx,503625,503625,17550675,cudaHLL,0.588456,0.588352,0.587776,59.649912,59.660456,59.718923,1,5
af23560.mtx,23560,23560,484256,serial,2.267500,2.281000,2.212000,0.427128,0.424600,0.437844,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.034432,0.034448,0.033760,28.128253,28.115188,28.688152,1,5
af23560.mtx,23560,23560,484256,cudaHLL,0.030736,0.030272,0.029984,31.510671,31.993657,32.300961,1,5
amazon0302.mtx,262111,262111,1234877,serial,9.570500,9.570000,9.563000,0.258059,0.258073,0.258261,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.078128,0.078240,0.076832,31.611638,31.566386,32.144863,1,5
amazon0302.mtx,262111,262111,1234877,cudaHLL,0.069424,0.069520,0.068960,35.574930,35.525805,35.814296,1,5
bcsstk17.mtx,10974,10974,428650,serial,1.898750,1.899000,1.898000,0.451508,0.451448,0.451686,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.033352,0.033040,0.032288,25.704606,25.947336,26.551660,1,5
bcsstk17.mtx,10974,10974,428650,cudaHLL,0.045248,0.045184,0.044992,18.946694,18.973531,19.054499,1,5
cage4.mtx,9,9,49,serial,0.000750,0.001000,0.000000,0.130667,0.098000,inf,1,5
cage4.mtx,9,9,49,cudaCSR,0.008944,0.008896,0.008192,0.010957,0.011016,0.011963,1,5
cage4.mtx,9,9,49,cudaHLL,0.008360,0.008336,0.008192,0.011722,0.011756,0.011963,1,5
cant.mtx,62451,62451,4007383,serial,17.695750,17.698000,17.688000,0.452920,0.452863,0.453119,1,5
cant.mtx,62451,62451,4007383,cudaCSR,0.210608,0.208256,0.203712,38.055373,38.485163,39.343612,1,5
cant.mtx,62451,62451,4007383,cudaHLL,0.157464,0.157664,0.156512,50.899038,50.834473,51.208633,1,5
cavity10.mtx,2597,2597,76367,serial,0.347250,0.345000,0.338000,0.439839,0.442707,0.451876,1,5
cavity10.mtx,2597,2597,76367,cudaCSR,0.015400,0.015392,0.014848,9.917792,9.922947,10.286503,1,5
cavity10.mtx,2597,2597,76367,cudaHLL,0.014712,0.014512,0.014336,10.381593,10.524669,10.653878,1,5
cop20k_A.mtx,121192,121192,2624331,serial,14.276000,14.277000,14.265000,0.367656,0.367631,0.367940,1,5
cop20k_A.mtx,121192,121192,2624331,cudaCSR,0.258352,0.259728,0.253152,20.315933,20.208303,20.733242,1,5
cop20k_A.mtx,121192,121192,2624331,cudaHLL,0.124776,0.124992,0.123712,42.064676,41.991984,42.426457,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,serial,557.028503,557.392975,555.100037,0.456731,0.456433,0.458318,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaCSR,4.495368,4.493248,4.492704,56.594318,56.621021,56.627878,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaHLL,4.240712,4.240880,4.239584,59.992825,59.990450,60.008786,1,5
dc1.mtx,116835,116835,766396,serial,3.891750,3.891500,3.885000,0.393857,0.393882,0.394541,1,5
dc1.mtx,116835,116835,766396,cudaCSR,7.114528,7.113968,7.110304,0.215445,0.215462,0.215573,1,5
dc1.mtx,116835,116835,766396,cudaHLL,13.293504,13.293888,13.290816,0.115304,0.115301,0.115327,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,serial,1.912500,1.912500,1.912000,0.450447,0.450447,0.450565,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaCSR,0.026920,0.026768,0.023360,32.001486,32.183204,36.878423,1,5
FEM_3D_thermal1.mtx,17880,17880,430740,cudaHLL,0.025016,0.025168,0.023328,34.437160,34.229180,36.929011,1,5
lung2.mtx,109460,109460,492564,serial,2.618000,2.618500,2.616000,0.376290,0.376218,0.376578,1,5
lung2.mtx,109460,109460,492564,cudaCSR,0.031336,0.031712,0.028000,31.437580,31.064834,35.183142,1,5
lung2.mtx,109460,109460,492564,cudaHLL,0.041256,0.041184,0.040960,23.878418,23.920164,24.050977,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,serial,6.577000,6.576000,6.575000,0.387225,0.387284,0.387343,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaCSR,0.085992,0.085904,0.083936,29.616452,29.646791,30.341904,1,5
mac_econ_fwd500.mtx,206500,206500,1273389,cudaHLL,0.178568,0.178720,0.176512,14.262231,14.250101,14.428356,1,5
mcfe.mtx,765,765,24382,serial,0.123000,0.123000,0.123000,0.396455,0.396455,0.396455,1,5
mcfe.mtx,765,765,24382,cudaCSR,0.017344,0.017280,0.016416,2.811577,2.821991,2.970517,1,5
mcfe.mtx,765,765,24382,cudaHLL,0.018320,0.016288,0.016128,2.661790,2.993860,3.023562,1,5
mhd4800a.mtx,4800,4800,102252,serial,0.453500,0.453500,0.453000,0.450946,0.450946,0.451444,1,5
mhd4800a.mtx,4800,4800,102252,cudaCSR,0.017368,0.016032,0.014880,11.774758,12.755988,13.743549,1,5
mhd4800a.mtx,4800,4800,102252,cudaHLL,0.012488,0.012480,0.012288,16.376041,16.386538,16.642578,1,5
mhda416.mtx,416,416,8562,cudaCSR,0.011592,0.011696,0.010688,1.477226,1.464090,1.602171,1,5
mhda416.mtx,416,416,8562,cudaHLL,0.011552,0.011568,0.010816,1.482341,1.480290,1.583210,1,5
ML_Laplace.mtx,377002,377002,27689972,serial,123.194750,122.804001,122.777000,0.449532,0.450962,0.451061,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaCSR,0.938624,0.941184,0.925536,59.001202,58.840719,59.835539,1,5
ML_Laplace.mtx,377002,377002,27689972,cudaHLL,0.892168,0.892144,0.891680,62.073448,62.075118,62.107420,1,5
nlpkkt80.mtx,1062400,1062400,28704672,serial,127.278502,127.277004,127.233002,0.451053,0.451058,0.451214,1,5
