Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32,1813,1813,11246,serial,1,0.021447,0.021194,0.020514,1.048737,1.061241,1.096421,1,5
adder_dcop_32,1813,1813,11246,ompCSR,17,0.024926,0.024574,0.023872,0.902351,0.915277,0.942191,1,5
adder_dcop_32,1813,1813,11246,ompHLL,17,1.972320,1.947602,1.932720,0.011404,0.011549,0.011637,1,5
af_1_k101,503625,503625,17550675,serial,1,21.882263,21.883754,21.865562,1.604101,1.603991,1.605326,1,5
af_1_k101,503625,503625,17550675,ompCSR,17,6.804204,6.804264,6.801168,5.158774,5.158728,5.161077,1,5
af_1_k101,503625,503625,17550675,ompHLL,17,7.379680,7.351851,7.306107,4.756487,4.774491,4.804385,1,5
af23560,23560,23560,484256,serial,1,0.463360,0.463830,0.459763,2.090192,2.088077,2.106546,1,5
af23560,23560,23560,484256,ompCSR,17,0.178271,0.175711,0.160656,5.432822,5.511958,6.028486,1,5
af23560,23560,23560,484256,ompHLL,17,0.207892,0.188212,0.185823,4.658726,5.145856,5.212015,1,5
amazon0302,262111,262111,1234877,serial,1,2.977399,2.980553,2.958026,0.829501,0.828623,0.834933,1,5
amazon0302,262111,262111,1234877,ompCSR,17,1.478995,1.477667,1.467001,1.669887,1.671387,1.683539,1,5
amazon0302,262111,262111,1234877,ompHLL,17,0.381556,0.314904,0.291389,6.472840,7.842867,8.475798,1,5
bcsstk17,10974,10974,428650,serial,1,0.441169,0.439119,0.437504,1.943245,1.952318,1.959525,1,5
bcsstk17,10974,10974,428650,ompCSR,17,0.111661,0.108564,0.093562,7.677719,7.896722,9.162913,1,5
bcsstk17,10974,10974,428650,ompHLL,17,1.725610,1.696551,1.648441,0.496810,0.505319,0.520067,1,5
cage4,9,9,49,serial,1,0.000087,0.000082,0.000077,1.126172,1.201732,1.271622,1,5
cage4,9,9,49,ompCSR,17,0.011885,0.011181,0.010452,0.008245,0.008765,0.009376,1,5
cage4,9,9,49,ompHLL,17,0.008170,0.008201,0.007448,0.011995,0.011950,0.013158,1,5
cant,62451,62451,4007383,serial,1,4.777003,4.778561,4.769573,1.677781,1.677234,1.680395,1,5
cant,62451,62451,4007383,ompCSR,17,1.979777,1.942222,1.853122,4.048318,4.126595,4.325007,1,5
cant,62451,62451,4007383,ompHLL,17,3.201611,2.842279,2.805867,2.503354,2.819838,2.856431,1,5
cavity10,2597,2597,76367,serial,1,0.082571,0.081575,0.081548,1.849723,1.872324,1.872934,1,5
cavity10,2597,2597,76367,ompCSR,17,0.035186,0.031607,0.027745,4.340817,4.832276,5.504914,1,5
cavity10,2597,2597,76367,ompHLL,17,0.214468,0.212966,0.211920,0.712154,0.717176,0.720715,1,5
cop20k_A,121192,121192,2624331,serial,1,4.727322,4.347164,4.316401,1.110282,1.207376,1.215981,1,5
cop20k_A,121192,121192,2624331,ompCSR,17,1.297625,1.260608,1.178929,4.044820,4.163596,4.452059,1,5
cop20k_A,121192,121192,2624331,ompHLL,17,1.514237,1.454494,1.349861,3.466210,3.608582,3.888298,1,5
Cube_Coup_dt0,2164760,2164760,127206144,serial,1,153.686690,153.020127,152.865550,1.655396,1.662607,1.664288,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompCSR,17,51.766414,50.363779,46.695228,4.914621,5.051493,5.448357,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompHLL,17,54.271876,54.271323,54.213203,4.687737,4.687785,4.692810,1,5
dc1,116835,116835,766396,serial,1,0.878025,0.872600,0.869810,1.745727,1.756580,1.762215,1,5
dc1,116835,116835,766396,ompCSR,17,0.698844,0.698960,0.690659,2.193324,2.192961,2.219318,1,5
dc1,116835,116835,766396,ompHLL,17,164.677823,162.527690,159.893019,0.009308,0.009431,0.009586,1,5
FEM_3D_thermal1,17880,17880,430740,serial,1,0.416003,0.411675,0.397638,2.070849,2.092619,2.166493,1,5
FEM_3D_thermal1,17880,17880,430740,ompCSR,17,0.144973,0.138667,0.137218,5.942348,6.212602,6.278189,1,5
FEM_3D_thermal1,17880,17880,430740,ompHLL,17,0.253722,0.236554,0.231018,3.395373,3.641797,3.729059,1,5
lung2,109460,109460,492564,serial,1,0.512552,0.511852,0.508455,1.922008,1.924636,1.937493,1,5
lung2,109460,109460,492564,ompCSR,17,0.598746,0.594521,0.592506,1.645320,1.657013,1.662646,1,5
lung2,109460,109460,492564,ompHLL,17,0.124970,0.088381,0.081671,7.882915,11.146378,12.062144,1,5
mac_econ_fwd500,206500,206500,1273389,serial,1,1.570339,1.569206,1.567220,1.621801,1.622972,1.625029,1,5
mac_econ_fwd500,206500,206500,1273389,ompCSR,17,1.196125,1.196389,1.187365,2.129191,2.128721,2.144899,1,5
mac_econ_fwd500,206500,206500,1273389,ompHLL,17,3.010732,2.973090,2.874906,0.845900,0.856610,0.885865,1,5
mcfe,765,765,24382,serial,1,0.029957,0.029947,0.029888,1.627826,1.628342,1.631558,1,5
mcfe,765,765,24382,ompCSR,17,0.029284,0.025371,0.022583,1.665226,1.922039,2.159329,1,5
mcfe,765,765,24382,ompHLL,17,0.086279,0.086335,0.085705,0.565191,0.564823,0.568975,1,5
mhd4800a,4800,4800,102252,serial,1,0.102783,0.101716,0.101315,1.989662,2.010548,2.018495,1,5
mhd4800a,4800,4800,102252,ompCSR,17,0.047222,0.046213,0.042771,4.330735,4.425244,4.781359,1,5
mhd4800a,4800,4800,102252,ompHLL,17,0.204500,0.204021,0.202393,1.000021,1.002370,1.010430,1,5
mhda416,416,416,8562,serial,1,0.009633,0.009619,0.009544,1.777690,1.780228,1.794224,1,5
mhda416,416,416,8562,ompCSR,17,0.016293,0.016326,0.014009,1.050972,1.048847,1.222361,1,5
mhda416,416,416,8562,ompHLL,17,0.023040,0.023330,0.021274,0.743221,0.733989,0.804927,1,5
ML_Laplace,377002,377002,27689972,serial,1,33.177562,32.794271,32.782147,1.669199,1.688708,1.689332,1,5
ML_Laplace,377002,377002,27689972,ompCSR,17,10.164990,10.164362,10.158482,5.448106,5.448442,5.451596,1,5
ML_Laplace,377002,377002,27689972,ompHLL,17,11.111596,11.074503,11.051910,4.983977,5.000671,5.010894,1,5
nlpkkt80,1062400,1062400,28704672,serial,1,33.464535,33.199348,33.122992,1.715528,1.729231,1.733217,1,5
nlpkkt80,1062400,1062400,28704672,ompCSR,17,11.956461,11.955710,11.934039,4.801533,4.801835,4.810554,1,5
nlpkkt80,1062400,1062400,28704672,ompHLL,17,12.540080,12.487806,12.405799,4.578068,4.597232,4.627622,1,5
olafu,16146,16146,1015156,serial,1,1.112198,1.111054,1.108241,1.825496,1.827375,1.832013,1,5
olafu,16146,16146,1015156,ompCSR,17,0.279183,0.282122,0.196751,7.272347,7.196573,10.319197,1,5
olafu,16146,16146,1015156,ompHLL,17,2.211889,2.187714,2.146703,0.917909,0.928052,0.945781,1,5
olm1000,1000,1000,3996,serial,1,0.004262,0.004261,0.004227,1.875179,1.875627,1.890685,1,5
olm1000,1000,1000,3996,ompCSR,17,0.024467,0.024920,0.021950,0.326647,0.320713,0.364100,1,5
olm1000,1000,1000,3996,ompHLL,17,0.014726,0.014791,0.013331,0.542730,0.540327,0.599502,1,5
PR02R,161070,161070,8185136,serial,1,9.786545,9.788411,9.767175,1.672733,1.672414,1.676050,1,5
PR02R,161070,161070,8185136,ompCSR,17,2.995914,2.992838,2.984488,5.464200,5.469815,5.485119,1,5
PR02R,161070,161070,8185136,ompHLL,17,5.327917,5.293876,5.241750,3.072547,3.092304,3.123055,1,5
raefsky2,3242,3242,294276,serial,1,0.354571,0.353838,0.352933,1.659901,1.663335,1.667602,1,5
raefsky2,3242,3242,294276,ompCSR,17,0.075970,0.081029,0.056375,7.747144,7.263435,10.439959,1,5
raefsky2,3242,3242,294276,ompHLL,17,0.523661,0.523517,0.518433,1.123919,1.124226,1.135252,1,5
rdist2,3198,3198,56934,serial,1,0.054557,0.054549,0.054389,2.087147,2.087444,2.093585,1,5
rdist2,3198,3198,56934,ompCSR,17,0.040460,0.039549,0.034020,2.814333,2.879195,3.347085,1,5
rdist2,3198,3198,56934,ompHLL,17,0.239473,0.238348,0.237790,0.475494,0.477739,0.478859,1,5
roadNet-PA,1090920,1090920,3083796,serial,1,9.425682,9.424965,9.397607,0.654339,0.654389,0.656294,1,5
roadNet-PA,1090920,1090920,3083796,ompCSR,17,6.424570,6.399857,6.365585,0.960001,0.963708,0.968896,1,5
roadNet-PA,1090920,1090920,3083796,ompHLL,17,3.431369,3.390251,3.350295,1.797414,1.819214,1.840910,1,5
thermal1,82654,82654,574458,serial,1,0.852477,0.856964,0.821677,1.347738,1.340682,1.398257,1,5
thermal1,82654,82654,574458,ompCSR,17,0.472200,0.473098,0.464123,2.433113,2.428497,2.475456,1,5
thermal1,82654,82654,574458,ompHLL,17,0.135426,0.118028,0.112734,8.483733,9.734265,10.191385,1,5
thermal2,1228045,1228045,8580313,serial,1,17.501028,17.427188,17.258687,0.980550,0.984704,0.994318,1,5
thermal2,1228045,1228045,8580313,ompCSR,17,5.196443,5.196866,5.190469,3.302380,3.302111,3.306180,1,5
thermal2,1228045,1228045,8580313,ompHLL,17,7.557931,7.543685,7.493313,2.270545,2.274833,2.290125,1,5
thermomech_TK,102158,102158,711558,serial,1,1.117301,1.115285,1.114781,1.273709,1.276011,1.276588,1,5
thermomech_TK,102158,102158,711558,ompCSR,17,0.565429,0.565397,0.558976,2.516878,2.517019,2.545934,1,5
thermomech_TK,102158,102158,711558,ompHLL,17,0.170416,0.133937,0.127215,8.350847,10.625302,11.186705,1,5
webbase-1M,1000005,1000005,3105536,serial,1,6.293267,6.263129,6.224200,0.986939,0.991688,0.997891,1,5
webbase-1M,1000005,1000005,3105536,ompCSR,17,5.892089,5.847252,5.827600,1.054138,1.062221,1.065803,1,5
webbase-1M,1000005,1000005,3105536,ompHLL,17,53.611548,53.606828,53.387301,0.115853,0.115863,0.116340,1,5
west2021,2021,2021,7353,serial,1,0.007811,0.007742,0.007662,1.882792,1.899631,1.919345,1,5
west2021,2021,2021,7353,ompCSR,17,0.022697,0.022369,0.020994,0.647935,0.657442,0.700486,1,5
west2021,2021,2021,7353,ompHLL,17,0.034833,0.034869,0.034360,0.422186,0.421744,0.427998,1,5
