Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32,1813,1813,11246,serial,1,0.031372,0.021193,0.019700,0.716946,1.061297,1.141724,1,5
adder_dcop_32,1813,1813,11246,ompCSR,1,0.021674,0.021712,0.020343,1.037728,1.035948,1.105639,1,5
adder_dcop_32,1813,1813,11246,ompHLL,1,1.749596,1.700034,1.668186,0.012856,0.013230,0.013483,1,5
af_1_k101,503625,503625,17550675,serial,1,21.786866,21.786453,21.773640,1.611124,1.611155,1.612103,1,5
af_1_k101,503625,503625,17550675,ompCSR,1,20.089636,20.087720,20.070892,1.747237,1.747403,1.748868,1,5
af_1_k101,503625,503625,17550675,ompHLL,1,26.068895,26.084646,26.013071,1.346484,1.345671,1.349374,1,5
af23560,23560,23560,484256,serial,1,0.433726,0.433603,0.430881,2.233005,2.233638,2.247749,1,5
af23560,23560,23560,484256,ompCSR,1,0.427459,0.427760,0.422977,2.265740,2.264146,2.289751,1,5
af23560,23560,23560,484256,ompHLL,1,0.613837,0.601391,0.579488,1.577799,1.610453,1.671324,1,5
amazon0302,262111,262111,1234877,serial,1,2.869106,2.872990,2.850233,0.860809,0.859646,0.866510,1,5
amazon0302,262111,262111,1234877,ompCSR,1,2.839318,2.835550,2.817430,0.869840,0.870996,0.876598,1,5
amazon0302,262111,262111,1234877,ompHLL,1,4.690258,4.653396,4.619996,0.526571,0.530742,0.534579,1,5
bcsstk17,10974,10974,428650,serial,1,0.435765,0.435607,0.432948,1.967346,1.968058,1.980145,1,5
bcsstk17,10974,10974,428650,ompCSR,1,0.418687,0.418686,0.413624,2.047593,2.047594,2.072655,1,5
bcsstk17,10974,10974,428650,ompHLL,1,1.823998,1.812359,1.711598,0.470011,0.473030,0.500877,1,5
cage4,9,9,49,serial,1,0.000077,0.000073,0.000073,1.273064,1.334094,1.342605,1,5
cage4,9,9,49,ompCSR,1,0.001287,0.001016,0.000437,0.076144,0.096455,0.224244,1,5
cage4,9,9,49,ompHLL,1,0.001285,0.000855,0.000808,0.076236,0.114556,0.121299,1,5
cant,62451,62451,4007383,serial,1,5.132012,4.772314,4.695686,1.561720,1.679430,1.706836,1,5
cant,62451,62451,4007383,ompCSR,1,4.599376,4.600741,4.593884,1.742577,1.742060,1.744660,1,5
cant,62451,62451,4007383,ompHLL,1,7.575135,7.579074,7.559703,1.058036,1.057486,1.060196,1,5
cavity10,2597,2597,76367,serial,1,0.076783,0.075467,0.075383,1.989177,2.023864,2.026107,1,5
cavity10,2597,2597,76367,ompCSR,1,0.075345,0.074595,0.074440,2.027129,2.047510,2.051772,1,5
cavity10,2597,2597,76367,ompHLL,1,0.180431,0.179805,0.178051,0.846493,0.849443,0.857810,1,5
cop20k_A,121192,121192,2624331,serial,1,4.333119,4.333001,4.299990,1.211290,1.211323,1.220622,1,5
cop20k_A,121192,121192,2624331,ompCSR,1,4.271476,4.273855,4.261296,1.228770,1.228086,1.231706,1,5
cop20k_A,121192,121192,2624331,ompHLL,1,8.107408,8.086171,8.038476,0.647391,0.649091,0.652942,1,5
Cube_Coup_dt0,2164760,2164760,127206144,serial,1,152.684253,152.701825,152.554895,1.666264,1.666072,1.667677,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompCSR,1,146.019175,145.646302,145.469795,1.742321,1.746782,1.748901,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompHLL,1,219.707631,219.315771,218.414200,1.157958,1.160027,1.164816,1,5
dc1,116835,116835,766396,serial,1,0.878707,0.879199,0.874935,1.744372,1.743396,1.751893,1,5
dc1,116835,116835,766396,ompCSR,1,0.843697,0.843133,0.839308,1.816757,1.817972,1.826257,1,5
dc1,116835,116835,766396,ompHLL,1,165.787027,166.294686,161.911281,0.009246,0.009217,0.009467,1,5
FEM_3D_thermal1,17880,17880,430740,serial,1,0.403632,0.404864,0.398498,2.134320,2.127826,2.161817,1,5
FEM_3D_thermal1,17880,17880,430740,ompCSR,1,0.392830,0.392834,0.388161,2.193010,2.192985,2.219388,1,5
FEM_3D_thermal1,17880,17880,430740,ompHLL,1,0.604004,0.591719,0.577797,1.426281,1.455893,1.490973,1,5
lung2,109460,109460,492564,serial,1,0.529151,0.529048,0.527250,1.861715,1.862075,1.868427,1,5
lung2,109460,109460,492564,ompCSR,1,0.493858,0.493417,0.486916,1.994761,1.996542,2.023199,1,5
lung2,109460,109460,492564,ompHLL,1,1.473143,1.461844,1.430001,0.668725,0.673894,0.688900,1,5
mac_econ_fwd500,206500,206500,1273389,serial,1,1.534472,1.533762,1.523433,1.659709,1.660477,1.671736,1,5
mac_econ_fwd500,206500,206500,1273389,ompCSR,1,1.501354,1.500346,1.497090,1.696321,1.697461,1.701152,1,5
mac_econ_fwd500,206500,206500,1273389,ompHLL,1,14.443679,14.443097,14.432996,0.176325,0.176332,0.176455,1,5
mcfe,765,765,24382,serial,1,0.027653,0.027616,0.027602,1.763406,1.765785,1.766679,1,5
mcfe,765,765,24382,ompCSR,1,0.028283,0.028201,0.027136,1.724144,1.729157,1.797026,1,5
mcfe,765,765,24382,ompHLL,1,0.075428,0.075452,0.075239,0.646498,0.646292,0.648121,1,5
mhd4800a,4800,4800,102252,serial,1,0.097380,0.095982,0.095898,2.100067,2.130639,2.132515,1,5
mhd4800a,4800,4800,102252,ompCSR,1,0.094283,0.094337,0.092672,2.169044,2.167802,2.206752,1,5
mhd4800a,4800,4800,102252,ompHLL,1,0.174185,0.174150,0.173695,1.174061,1.174295,1.177375,1,5
mhda416,416,416,8562,serial,1,0.008848,0.008825,0.008764,1.935403,1.940388,1.953907,1,5
mhda416,416,416,8562,ompCSR,1,0.009663,0.009560,0.009109,1.772068,1.791296,1.879892,1,5
mhda416,416,416,8562,ompHLL,1,0.018170,0.016970,0.016638,0.942445,1.009076,1.029205,1,5
mhda416,416,416,8562,serial,1,0.008783,0.008759,0.008735,1.949615,1.955128,1.960391,1,5
mhda416,416,416,8562,ompCSR,1,0.009672,0.009576,0.009102,1.770420,1.788312,1.881335,1,5
mhda416,416,416,8562,ompHLL,1,0.016859,0.016843,0.016771,1.015690,1.016685,1.021047,1,5
ML_Laplace,377002,377002,27689972,serial,1,33.514466,33.484694,32.906707,1.652419,1.653888,1.682938,1,5
ML_Laplace,377002,377002,27689972,ompCSR,1,32.338275,32.292881,31.953798,1.712520,1.714927,1.733126,1,5
ML_Laplace,377002,377002,27689972,ompHLL,1,44.190301,44.194517,43.752555,1.253215,1.253095,1.265753,1,5
nlpkkt80,1062400,1062400,28704672,serial,1,33.081406,33.097466,32.957172,1.735396,1.734554,1.741938,1,5
nlpkkt80,1062400,1062400,28704672,ompCSR,1,31.949976,31.950381,31.929626,1.796851,1.796828,1.797996,1,5
nlpkkt80,1062400,1062400,28704672,ompHLL,1,46.149551,46.071497,45.978725,1.243985,1.246092,1.248607,1,5
olafu,16146,16146,1015156,serial,1,1.175146,1.176602,1.168860,1.727711,1.725572,1.737002,1,5
olafu,16146,16146,1015156,ompCSR,1,1.145605,1.144022,1.138837,1.772262,1.774715,1.782794,1,5
olafu,16146,16146,1015156,ompHLL,1,2.250691,2.228547,2.193361,0.902084,0.911048,0.925662,1,5
olm1000,1000,1000,3996,serial,1,0.004252,0.004252,0.004247,1.879594,1.879581,1.881822,1,5
olm1000,1000,1000,3996,ompCSR,1,0.005044,0.004658,0.004470,1.584370,1.715926,1.787920,1,5
olm1000,1000,1000,3996,ompHLL,1,0.008459,0.008500,0.008191,0.944793,0.940235,0.975707,1,5
PR02R,161070,161070,8185136,serial,1,9.712544,9.704253,9.690958,1.685477,1.686917,1.689232,1,5
PR02R,161070,161070,8185136,ompCSR,1,9.401826,9.401911,9.389245,1.741180,1.741164,1.743513,1,5
PR02R,161070,161070,8185136,ompHLL,1,23.853592,23.832739,23.789541,0.686281,0.686882,0.688129,1,5
raefsky2,3242,3242,294276,serial,1,0.329222,0.328522,0.327823,1.787706,1.791515,1.795335,1,5
raefsky2,3242,3242,294276,ompCSR,1,0.340283,0.341976,0.326838,1.729593,1.721033,1.800745,1,5
raefsky2,3242,3242,294276,ompHLL,1,0.463255,0.450200,0.441166,1.270470,1.307312,1.334083,1,5
rdist2,3198,3198,56934,serial,1,0.059393,0.058260,0.058097,1.917195,1.954478,1.959965,1,5
rdist2,3198,3198,56934,ompCSR,1,0.057058,0.056885,0.056095,1.995644,2.001706,2.029911,1,5
rdist2,3198,3198,56934,ompHLL,1,0.214671,0.214707,0.211964,0.530430,0.530341,0.537205,1,5
roadNet-PA,1090920,1090920,3083796,serial,1,9.131303,9.138517,9.100074,0.675434,0.674901,0.677752,1,5
roadNet-PA,1090920,1090920,3083796,ompCSR,1,9.101423,9.086969,9.044945,0.677651,0.678729,0.681883,1,5
roadNet-PA,1090920,1090920,3083796,ompHLL,1,18.241152,17.920962,17.779038,0.338114,0.344155,0.346902,1,5
thermal1,82654,82654,574458,serial,1,0.804931,0.797605,0.793973,1.427348,1.440458,1.447047,1,5
thermal1,82654,82654,574458,ompCSR,1,0.737409,0.733791,0.726937,1.558044,1.565726,1.580489,1,5
thermal1,82654,82654,574458,ompHLL,1,1.530263,1.501983,1.436833,0.750796,0.764933,0.799617,1,5
thermal2,1228045,1228045,8580313,serial,1,17.196191,17.099727,16.949695,0.997932,1.003561,1.012445,1,5
