Matrix,Mode,Speedup_Avg,Speedup_Median
adder_dcop_32.mtx,cudaCSR,1.012668,1.011592
adder_dcop_32.mtx,cudaHLL,.501076,.498007
af_1_k101.mtx,cudaCSR,71.748274,71.757739
af_1_k101.mtx,cudaHLL,133.752627,133.748246
af23560.mtx,cudaCSR,66.036726,66.060513
af23560.mtx,cudaHLL,82.389829,81.974362
amazon0302.mtx,cudaCSR,125.442570,125.947563
amazon0302.mtx,cudaHLL,138.446730,138.423638
bcsstk17.mtx,cudaCSR,66.153249,57.298971
bcsstk17.mtx,cudaHLL,49.498410,41.887388
cage4.mtx,cudaCSR,.047205,.058411
cage4.mtx,cudaHLL,.058356,.058302
cant.mtx,cudaCSR,79.679337,79.553834
cant.mtx,cudaHLL,111.969014,111.903526
cavity10.mtx,cudaCSR,18.297177,17.972662
cavity10.mtx,cudaHLL,21.282459,21.067759
cop20k_A.mtx,cudaCSR,54.964057,55.063815
cop20k_A.mtx,cudaHLL,114.114454,113.952380
Cube_Coup_dt0.mtx,cudaCSR,121.124645,121.192955
Cube_Coup_dt0.mtx,cudaHLL,131.109528,131.213658
dc1.mtx,cudaCSR,.545534,.545531
dc1.mtx,cudaHLL,.182420,.182466
FEM_3D_thermal1.mtx,cudaCSR,71.567454,70.994065
FEM_3D_thermal1.mtx,cudaHLL,72.302810,71.760647
lung2.mtx,cudaCSR,82.937863,80.717626
lung2.mtx,cudaHLL,63.321256,62.835377
mac_econ_fwd500.mtx,cudaCSR,75.346360,75.320365
mac_econ_fwd500.mtx,cudaHLL,36.297151,36.229122
mcfe.mtx,cudaCSR,5.708132,5.702893
mcfe.mtx,cudaHLL,6.917938,6.839412
mhd4800a.mtx,cudaCSR,27.585158,27.733610
mhd4800a.mtx,cudaHLL,34.293708,34.439550
mhda416.mtx,cudaCSR,2.985443,2.929687
mhda416.mtx,cudaHLL,3.327819,3.348214
mhda416.mtx,cudaCSR,2.920560,2.957962
mhda416.mtx,cudaHLL,3.277297,3.336997
ML_Laplace.mtx,cudaCSR,129.640229,129.233788
ML_Laplace.mtx,cudaHLL,138.057851,137.615855
nlpkkt80.mtx,cudaCSR,77.264144,76.007618
nlpkkt80.mtx,cudaHLL,128.401737,128.395344
olafu.mtx,cudaCSR,59.530497,59.518078
olafu.mtx,cudaHLL,79.655283,79.595851
olm1000.mtx,cudaCSR,2.569991,2.622767
olm1000.mtx,cudaHLL,2.396003,2.392100
PR02R.mtx,cudaCSR,88.058929,84.665420
PR02R.mtx,cudaHLL,95.932434,92.316986
raefsky2.mtx,cudaCSR,33.071778,33.475558
raefsky2.mtx,cudaHLL,48.427972,48.290273
rdist2.mtx,cudaCSR,15.420106,15.427599
rdist2.mtx,cudaHLL,15.435099,15.533268
roadNet-PA.mtx,cudaCSR,135.170149,135.188609
roadNet-PA.mtx,cudaHLL,113.757913,113.868369
thermal1.mtx,cudaCSR,70.052391,69.710729
thermal1.mtx,cudaHLL,87.079831,87.299915
thermal2.mtx,cudaCSR,98.831902,98.735969
thermal2.mtx,cudaHLL,128.468977,128.533274
thermomech_TK.mtx,cudaCSR,83.888713,84.356529
thermomech_TK.mtx,cudaHLL,104.985770,104.468020
webbase-1M.mtx,cudaCSR,47.376531,47.294300
webbase-1M.mtx,cudaHLL,11.496298,11.491310
west2021.mtx,cudaCSR,4.354711,4.428341
west2021.mtx,cudaHLL,4.280155,4.337539
