Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
adder_dcop_32,ompCSR,1,1.447448,.976096
adder_dcop_32,ompHLL,1,.017930,.012466
af_1_k101,ompCSR,1,1.084482,1.084565
af_1_k101,ompHLL,1,.835741,.835221
af23560,ompCSR,1,1.014661,1.013659
af23560,ompHLL,1,.706581,.721000
amazon0302,ompCSR,1,1.010491,1.013203
amazon0302,ompHLL,1,.611716,.617396
bcsstk17,ompCSR,1,1.040789,1.040414
bcsstk17,ompHLL,1,.238906,.240353
cage4,ompCSR,1,.059829,.071850
cage4,ompHLL,1,.059922,.085380
cant,ompCSR,1,1.115806,1.037292
cant,ompHLL,1,.677481,.629669
cavity10,ompCSR,1,1.019085,1.011689
cavity10,ompHLL,1,.425553,.419715
cop20k_A,ompCSR,1,1.014431,1.013839
cop20k_A,ompHLL,1,.534464,.535853
Cube_Coup_dt0,ompCSR,1,1.045645,1.048442
Cube_Coup_dt0,ompHLL,1,.694942,.696264
dc1,ompCSR,1,1.041495,1.042776
dc1,ompHLL,1,.005300,.005286
FEM_3D_thermal1,ompCSR,1,1.027497,1.030623
FEM_3D_thermal1,ompHLL,1,.668260,.684216
lung2,ompCSR,1,1.071463,1.072212
lung2,ompHLL,1,.359198,.361904
mac_econ_fwd500,ompCSR,1,1.022058,1.022272
mac_econ_fwd500,ompHLL,1,.106238,.106193
mcfe,ompCSR,1,.977725,.979256
mcfe,ompHLL,1,.366614,.366007
mhd4800a,ompCSR,1,1.032847,1.017437
mhd4800a,ompHLL,1,.559060,.551145
mhda416,ompCSR,1,.915657,.923117
mhda416,ompHLL,1,.486956,.520035
mhda416,ompCSR,1,.908085,.914682
mhda416,ompHLL,1,.520968,.520037
ML_Laplace,ompCSR,1,1.036371,1.036906
ML_Laplace,ompHLL,1,.758412,.757666
nlpkkt80,ompCSR,1,1.035412,1.035902
nlpkkt80,ompHLL,1,.716830,.718393
olafu,ompCSR,1,1.025786,1.028478
olafu,ompHLL,1,.522126,.527968
olm1000,ompCSR,1,.842981,.912838
olm1000,ompHLL,1,.502659,.500235
PR02R,ompCSR,1,1.033048,1.032157
PR02R,ompHLL,1,.407173,.407181
raefsky2,ompCSR,1,.967494,.960658
raefsky2,ompHLL,1,.710671,.729724
rdist2,ompCSR,1,1.040923,1.024171
rdist2,ompHLL,1,.276669,.271346
roadNet-PA,ompCSR,1,1.003283,1.005672
roadNet-PA,ompHLL,1,.500588,.509934
thermal1,ompCSR,1,1.091566,1.086964
thermal1,ompHLL,1,.526008,.531034
thermal2,ompCSR,1,1.023129,1.036306
thermal2,ompHLL,1,.573619,.575349
thermomech_TK,ompCSR,1,1.035820,1.035083
thermomech_TK,ompHLL,1,.500191,.508738
webbase-1M,ompCSR,1,1.035399,1.037304
webbase-1M,ompHLL,1,.047466,.047476
west2021,ompCSR,1,.887648,.918841
west2021,ompHLL,1,.256769,.265227
adder_dcop_32,ompCSR,2,1.678797,1.644486
adder_dcop_32,ompHLL,2,.012023,.012171
af_1_k101,ompCSR,2,2.116367,2.118154
af_1_k101,ompHLL,2,1.602003,1.637595
af23560,ompCSR,2,1.910865,1.907781
af23560,ompHLL,2,1.204217,1.224192
